Title;Ingenio;URL;Authors;Abstract
Affinity Propagation Enhanced by Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000322137100042;"Santana, R; Bielza, C and Larranaga, P";Tumor classification based on gene expression data can be applied to set appropriate medical treatment according to the specific tumor characteristics. In this paper we propose the use of estimation of distribution algorithms (EDAs) to enhance the performance of affinity propagation (AP) in classification problems. AP is an efficient clustering algorithm based on message-passing methods and whi
Wrapper discretization by means of estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000250774800006;"Flores, JL; Inza, I and Larrañaga, P";Add this journal to your reviewer interest list.  Add Journal|We present a supervised wrapper approach to discretization. In contrast to many classical approaches, the discretization process is multivariate: all variables are discretized simultaneously, and the proposed discretization is evaluated with the Naive-Bayes classifier. The search for the optimal discretization is carried out as an optimization process with the learning model estimated accuracy
Estimation-of-distribution algorithms for multi-valued decision variables;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001244280000001;"Ben Jedidia, F; Doerr, B and Krejca, MS";Add this journal to your reviewer interest list.  Add Journal|The majority of research on estimation -of -distribution algorithms (EDAs) concentrates on pseudoBoolean optimization and permutation problems, leaving the domain of EDAs for problems in which the decision variables can take more than two values, but which are not permutation problems, mostly unexplored. To render this domain more accessible, we propose a natural way to extend the known univari
An Improved Estimation of Distribution Algorithms based on the Minimal Free Energy;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000339362300210;"Yu, FH; Chen, MJ and Liao, WZ";To systematically harmonize the conflict between selective pressure and population diversity in estimation of distribution algorithms, an improved estimation of distribution algorithms based on the minimal free energy (IEDA) is proposed in this paper. IEDA conforms to the principle of minimal free energy in simulating the competitive mechanism between energy and entropy in annealing process, in
Decentralized Estimation of Distribution Algorithms for Large Scale Networked Systems;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000459239503185;Bian, AZ and Chen, X;In order to solve optimization problems in large scale networked systems, this paper proposes a method to implement estimation of distribution algorithms (EDA) in a decentralized way. The main point of decentralized EDA is that each subsystem solves its own optimization problems based on local and its neighbors' information. Numerical examples illustrate the effectiveness of the algorithm.
Multi-objective Counterfactuals in Bayesian Classifiers with Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001347210900024;"Zaragoza-Pellicer, D; Bielza, C and Larrañaga, P";Counterfactual explanations are a very popular and effective method to convey interpretability in supervised classification models. These explanations answer the question of which change is needed in the input data to obtain a desired output. Computing good counterfactuals involves achieving some key objectives, such as validity, minimality, similarity or plausibility. Our proposal consists of
Formalization Description of Estimation of Distribution Algorithms Based on Intelligent Computation Framework;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000259965700113;"Wang, L; Yan, Y;  (...); Wu, QD";"Different computation modes of agents take on relative uniform characteristic in all kinds of intelligent algorithms, though they usually have different extrinsic forms. In this paper, formalization description of estimation of distribution algorithms is proposed; and the general framework description of estimation of distribution algorithms based on intelligent computation framework idea is di"
Classification Scheme of Multi-objective Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000326235303008;"Mendoza-Gonzalez, A; Ponce-de-Leon, E and Diaz-Diaz, E";A variety of Estimation of Distribution Algorithms for multi-objective optimization (MOEDAs) has been reported, each of them with its own characteristics and techniques in their optimization process. In this research we present a classification scheme for these algorithms, based on ten characteristics: domain of the variables, relationships between the variables, probabilistic graphical model,
Space complexity of estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000227633700008;Gao, Y;Add this journal to your reviewer interest list.  Add Journal|In this paper, we investigate the space complexity of the Estimation of Distribution Algorithms (EDAs), a class of sampling-based variants of the genetic algorithm. By analyzing the nature of EDAs, we identify criteria that characterize the space complexity of two typical implementation schemes of EDAs, the factorized distribution algorithm and Bayesian network-based algorithms. Using random ad
The effectiveness of mutation operation in the case of Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000244128500019;Handa, H;Add this journal to your reviewer interest list.  Add Journal|The Estimation of Distribution Algorithms are a class of evolutionary algorithms which adopt probabilistic models to reproduce individuals in the next generation, instead of conventional crossover and mutation operators. In this paper, mutation operators are incorporated into Estimation of Distribution Algorithms in order to maintain the diversities in EDA populations. Two kinds of mutation ope
Mateda-2.0: Estimation of Distribution Algorithms in MATLAB;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000281587800001;"Santana, R; Bielza, C;  (...); Shakya, S";Add this journal to your reviewer interest list.  Add Journal|This paper describes Mateda-2.0, a MATLAB package for estimation of distribution algorithms (EDAs). This package can be used to solve single and multi-objective discrete and continuous optimization problems using EDAs based on undirected and directed probabilistic graphical models. The implementation contains several methods commonly employed by EDAs. It is also conceived as an open package to
Estimation of Distribution Algorithms for the Firefighter Problem;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000417370500008;Michalak, K;Add this journal to your reviewer interest list.  Add Journal|The firefighter problem is a graph-based optimization problem in which the goal is to effectively prevent the spread of a threat in a graph using a limited supply of resources. Recently, metaheuristic approaches to this problem have been proposed, including ant colony optimization and evolutionary algorithms.|In this paper Estimation of Distribution Algorithms (EDAs) are used to solve the
Estimation of distribution algorithms with Kikuchi approximations;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000227633700006;Santana, R;Add this journal to your reviewer interest list.  Add Journal|The question of finding feasible ways for estimating probability distributions is one of the main challenges for Estimation of Distribution Algorithms (EDAs). To estimate the distribution of the selected solutions, EDAs use factorizations constructed according to graphical models. The class of factorizations that can be obtained from these probability models is highly constrained. Expanding the
Does overfitting affect performance in estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000249917300069;Wu, H and Shapiro, JL;Estimation of Distribution Algorithms (EDAs) are a class of evolutionary algorithms that use machine learning techniques to solve optimization problems. Machine learning is used to learn probabilistic models of the selected population. This model is then used to generate next population via sampling. An important phenomenon in machine learning from data is called overfitting. This occurs when t
A review of message passing algorithms in estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000371310400014;"Santana, R; Mendiburu, A and Lozano, J";Add this journal to your reviewer interest list.  Add Journal|Message passing algorithms (MPAs) have been traditionally used as an inference method in probabilistic graphical models. Some MPA variants have recently been introduced in the field of estimation of distribution algorithms (EDAs) as a way to improve the efficiency of these algorithms. Multiple developments on MPAs point to an increasing potential of these methods for their application as part o
On the convergence of a class of estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000220968200004;Zhang, QF and Mühlenbein, H;Add this journal to your reviewer interest list.  Add Journal|We investigate the global convergence of estimation of distribution algorithms (EDAs). In EDAs, the distribution is estimated from a set of selected elements, i.e., the parent set, and then the estimated distribution model is used to generate new elements. In this paper, we prove that: 1) if the distribution of the new elements matches that of the parent set exactly, the algorithms will converg
An introduction and survey of estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000209360100001;Hauschild, M and Pelikan, M;Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs) are stochastic optimization techniques that explore the space of potential solutions by building and sampling explicit probabilistic models of promising candidate solutions. This explicit use of probabilistic models in optimization offers some significant advantages over other types of metaheuristics. This paper discusses these advantages and outline
Porting Estimation of Distribution Algorithms to the Cell Broadband Engine;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000283210200005;"Pérez-Miguel, C; Miguel-Alonso, J and Mendiburu, A";Add this journal to your reviewer interest list.  Add Journal|Current consumer-grade computers and game devices incorporate very powerful processors that can be used to accelerate many classes of scientific codes. In this paper we explore the ability of the Cell Broadband Engine to run two similar Estimation of Distribution Algorithms, one for the discrete domain and the other for the continuous domain. Starting from initial, sequential versions, we devel
Extending a class of continuous estimation of distribution algorithms to dynamic problems;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000261234500014;"Yuan, B; Orlowska, M and Sadiq, S";Add this journal to your reviewer interest list.  Add Journal|In this paper, a class of continuous Estimation of Distribution Algorithms (EDAs) based on Gaussian models is analyzed to investigate their potential for solving dynamic optimization problems where the global optima may change dramatically during time. Experimental results on a number of dynamic problems show that the proposed strategy for dynamic optimization can significantly improve the perf
Estimation of Distribution Algorithms with Graph Kernels for Graphs with Node Types;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000402759400018;Maezawa, K and Handa, H;We have proposed a novel Estimation of Distribution Algorithms with graph kernels (EDA-GK). By using the graph kernels, we can search for solutions in a feature space. The use of the graph kernel can eliminate the effect of the ruggedness of genotype-phenotype mappings of evolutionary algorithms. In this paper, we extend the EDA-GK to cope with graphs with node types. In order to achieve this,
On the model updating operators in univariate estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000376763500012;Bronevich, AG and de Oliveira, JV;Add this journal to your reviewer interest list.  Add Journal|The role of the selection operation-that stochastically discriminate between individuals based on their merit-on the updating of the probability model in univariate estimation of distribution algorithms is investigated. Necessary conditions for an operator to model selection in such a way that it can be used directly for updating the probability model are postulated. A family of such operators
Negative Correlation Learning in the Estimation of Distribution Algorithms for Combinatorial Optimization;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000327168600010;Wattanapornprom, W and Chongstitvatana, P;Add this journal to your reviewer interest list.  Add Journal|This article introduces the Coincidence Algorithm (COIN) to solve several multimodal puzzles. COIN is an algorithm in the category of Estimation of Distribution Algorithms (EDAs) that makes use of probabilistic models to generate solutions. The model of COIN is a joint probability table of adjacent events (coincidence) derived from the population of candidate solutions. A unique characteristic
Introducing the Mallows Model on Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000306990600054;"Ceberio, J; Mendiburu, A and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|Estimation of Distribution Algorithms are a set of algorithms that belong to the field of Evolutionary Computation. Characterized by the use of probabilistic models to learn the (in)dependencies between the variables of the optimization problem, these algorithms have been applied to a wide set of academic and real-world optimization problems, achieving competitive results in most scenarios. How
Estimation of Distribution Algorithms in Machine Learning: A Survey;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001328314100006;Larranaga, P and Bielza, C;Add this journal to your reviewer interest list.  Add Journal|The automatic induction of machine learning models capable of addressing supervised learning, feature selection, clustering, and reinforcement learning problems requires sophisticated intelligent search procedures. These searches are usually performed in the possible model structure spaces, leading to combinatorial optimization problems, and in the parameter spaces, where it is necessary to sol
Estimation of Distribution Algorithms with Fuzzy Sampling for Stochastic Programming Problems;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000586604200001;"Hedar, AR; Allam, AA and Fahim, A";Add this journal to your reviewer interest list.  Add Journal|Generating practical methods for simulation-based optimization has attracted a great deal of attention recently. In this paper, the estimation of distribution algorithms are used to solve nonlinear continuous optimization problems that contain noise. One common approach to dealing with these problems is to combine sampling methods with optimal search methods. Sampling techniques have a serious
Efficiency enhancement of estimation of distribution algorithms by a compressed tournament selection;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000334211500040;Martins, JP and Delbem, ACB;Add this journal to your reviewer interest list.  Add Journal|Estimation of Distribution Algorithms (EDA) are population-based meta-heuristics that use probabilistic models to describe the relationships between variables of a problem. From these models, new solutions can be sampled without disruption of Building Blocks, leading to a more effective search. The key aspect of EDAs is the model-building step and better models should enable a better exploratio
Estimation of Distribution Algorithms (EDA) to Realize the Motion Planning of Space Robot;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000397331301129;"Xia, CJ; Wang, RQ and Gu, WJ";The base of space robot is not fixed, the linear and angular momentum of the system obeys conservation law. The angular momentum conservation equations are not integrable, so the system is nonholonomic. Hence a method for space robot motion planning with estimation of distribution algorithms (EDA) is presented. This paper develops the kinematic model of space robot systems, transforms the nonho
Triangulation of Bayesian networks with recursive estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000264713200007;Romero, T and Larrañaga, P;Add this journal to your reviewer interest list.  Add Journal|Bayesian networks can be used as a model to make inferences in domains with intrinsic uncertainty, that is, to determine the probability distribution of a set of variables given the instantiation of another set. The inference is an NP-hard problem. There are several algorithms to make exact and approximate inference. One of the most popular, and that is also an exact method. is the evidence pro
Bivariate Estimation-of-Distribution Algorithms Can Find an Exponential Number of Optima;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000605292300093;Doerr, B and Krejca, MS;Finding a large set of optima in a multimodal optimization landscape is a challenging task. Classical population-based evolutionary algorithms (EAs) typically converge only to a single solution. While this can be counteracted by applying niching strategies, the number of optima is nonetheless trivially bounded by the population size.|Estimation-of-distribution algorithms (EDAs) are an alt
Understanding the Treatment of Outliers in Multi-Objective Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000354873200029;"Martí, L; Sanchez-Pi, N and Vellasco, M";Add this journal to your reviewer interest list.  Add Journal|It has been already documented the fact that estimation of distribution algorithms suffer from loss of population diversity and improper treatment of isolated solutions. This situation is particularly severe in the case of multi-objective optimization, as the loss of solution diversity limits the capacity of an algorithm to explore the Pareto-optimal front at full extent.|A set of approac
Enhancement of continuous estimation of distribution algorithms by density ensembles;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000310311200002;"Li, HL; Hong, Y;  (...); Wang, WB";Add this journal to your reviewer interest list.  Add Journal|In this article, two novel density ensembles methods - the resampling method and the subspaces method are proposed for enhancing existing continuous Estimation of Distribution Algorithms (EDAs). In 'resampling continuous EDAs', a population of densities of the selected promising solutions is obtained by iteratively using the resampling operator and the density estimation operator, and new candi
Estimation of Distribution Algorithms as Logistic Regression Regularizers of Microarray Classifiers;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000266932600003;"Bielza, C; Robles, V and Larrañaga, P";"Add this journal to your reviewer interest list.  Add Journal|Objectives: The ""large k (genes), small N (samples)"" phenomenon complicates the problem of microarray classification with logistic regression. The indeterminacy of the maximum likelihood solutions, multicollinearity of predictor variables and data over-fitting cause unstable parameter estimates. Moreover, computational problems arise due to the large number of predictor (genes) variables. Regul"
Bivariate estimation-of-distribution algorithms can find an exponential number of optima;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001052075800001;Doerr, B and Krejca, MS;Add this journal to your reviewer interest list.  Add Journal|Finding a large set of optima in a multimodal optimization landscape is a challenging task. Classical population-based evolutionary algorithms typically converge only to a single solution. While this can be counteracted by applying niching strategies, the number of optima is nonetheless trivially bounded by the population size. Estimation-of-distribution algorithms (EDAs) are an alternative, ma
Structure Learning of Bayesian Networks by Estimation of Distribution Algorithms with Transpose Mutation;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000323803500012;"Kim, DW; Ko, S and Kang, BY";Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs) constitute a new branch of evolutionary optimization algorithms that were developed as a natural alternative to genetic algorithms (GAs). Several studies have demonstrated that the heuristic scheme of EDAs is effective and efficient for many optimization problems. Recently, it has been reported that the incorporation of mutation into EDAs increases t
Message Passing Methods for Estimation of Distribution Algorithms Based on Markov Networks;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000350036700038;"Santana, R; Mendiburu, A and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|Sampling methods are a fundamental component of estimation of distribution algorithms (EDAs). In this paper we propose new methods for generating solutions in EDAs based on Markov networks. These methods are based on the combination of message passing algorithms with decimation techniques for computing the maximum a posteriori solution of a probabilistic graphical model. The performance of the
Variable Screening for Reduced Dependency Modelling in Gaussian-based Continuous Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000312859302044;Mishra, KM and Gallagher, M;Estimation of Distribution Algorithms (EDAs) focus on explicitly modelling dependencies between solution variables. A Gaussian distribution over continuous variables is commonly used, with several different covariance matrix structures ranging from diagonal i.e. Univariate Marginal Distribution Algorithm (UMDA(c)) to full i.e. Estimation of Multivariate Normal density Algorithm (EMNA). A diagon
Population Sizing for Entropy-based Model Building in Discrete Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000268226900113;"Yu, TL; Sastry, K;  (...); Pelikan, M";This paper proposes a population-sizing model for entropy-based model building in discrete estimation of distribution algorithms. Specifically, the population size required for building an accurate model is investigated. The effect of selection pressure on population sizing is also preliminarily incorporated. The proposed model indicates that the population size required for building ail accura
From Understanding Genetic Drift to a Smart-Restart Mechanism for Estimation-of-Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001111534000001;Zheng, WJ and Doerr, B;Add this journal to your reviewer interest list.  Add Journal|Estimation-of-distribution algorithms (EDAs) are optimization algorithms that learn a distribution from which good solutions can be sampled easily. A key parameter of most EDAs is the sample size (population size). Too small values lead to the undesired effect of genetic drift, while larger values slow down the process. Building on a quantitative analysis of how the population size leads to gen
Adaptive Variance Scaling in Continuous Multi-Objective Estimation-of-Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000268226900100;Bosman, PAN and Thierens, D;Recent research into single-objective continuous Estimation-of-Distribution Algorithms (EDAs) has shown that when 7 maximum-likelihood estimations are used for parametric distributions such as the normal distribution, the EDA can easily suffer from premature convergence. In this paper we argue that the same holds for multi-objective optimization. Our aim in this paper is to transfer a solution
Drift and scaling in estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000227633700007;Shapiro, JL;Add this journal to your reviewer interest list.  Add Journal|This paper considers a phenomenon in Estimation of Distribution Algorithms (EDA) analogous to drift in population genetic dynamics. Finite population sampling in selection results in fluctuations which get reinforced when the probability model is updated. As a consequence, any probability model which can generate only a single set of values with probability 1 can be an attractive fixed point of
Software reliability prediction model based on support vector regression with improved estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000329457400010;Jin, C and Jin, SW;Add this journal to your reviewer interest list.  Add Journal|Software reliability prediction plays a very important role in the analysis of software quality and balance of software cost. The data during software lifecycle is used to analyze and predict software reliability. However, predicting the variability of software reliability with time is very difficult. Recently, support vector regression (SVR) has been widely applied to solve nonlinear predictin
Estimation of distribution algorithms for the computation of innovation estimators of diffusion processes;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000642357500026;"Arenas, ZG; Jimenez, JC;  (...); Santana, R";Add this journal to your reviewer interest list.  Add Journal|Innovation Method is a recognized method for the estimation of parameters in diffusion processes. It is well known that the quality of the Innovation Estimator strongly depends on an adequate selection of the initial value for the parameters when a local optimization algorithm is used in its computation. Alternatively, in this paper, we use a strategy based on a modern method for solving global
Comprehensive characterization of the behaviors of estimation of distribution algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000361856400007;"Echegoyen, C; Santana, R;  (...); Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|Estimation of distribution algorithms (EDAs) are a successful example of how to use machine learning techniques for designing robust and efficient heuristic search algorithms. Understanding the relationship between EDAs and the space of optimization problems is a fundamental issue for the successful application of this type of algorithms. A step forward in this matter is to create a taxonomy of
Scatter Search in software testing, comparison and collaboration with Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000232583700004;Sagarna, R and Lozano, JA;Add this journal to your reviewer interest list.  Add Journal|One of the main tasks software testing includes is the generation of the test cases to be used during the test. Due to its expensive cost, the automatization of this task has become one of the key issues in the area. The field of Evolutionary Testing deals with this problem by means of metaheuristic search techniques.|An Evolutionary Testing based approach to the automatic generation of t
Semiparametric Estimation of Distribution Algorithms for Continuous Optimization;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:001283906100008;"Soloviev, VP; Bielza, C and Larrañaga, P";Add this journal to your reviewer interest list.  Add Journal|Traditional estimation of distribution algorithms (EDAs) often use Gaussian densities to optimize continuous functions, such as the estimation of Gaussian network algorithms (EGNAs) which use Gaussian Bayesian networks (GBNs). However, this assumes a parametric density function, and, in GBNs, linear dependencies between variables. Furthermore, the EGNA baseline learns a GBN at each iteration ba
Critical Issues in Model-Based Surrogate Functions in Estimation of Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000350036700001;"Santana, R; Mendiburu, A and Lozano, JA";Add this journal to your reviewer interest list.  Add Journal|In many optimization domains the solution of the problem can be made more efficient by the construction of a surrogate fitness model. Estimation of distribution algorithms (EDAs) are a class of evolutionary algorithms particularly suitable for the conception of model-based surrogate techniques. Since EDAs generate probabilistic models, it is natural to use these models as surrogates. However, t
Model-based template-recombination in Markov network estimation of distribution algorithms for problems with discrete representation;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000380541300030;Santana, R and Mendiburu, A;While estimation of distribution algorithms (EDAs) based on Markov networks usually incorporate efficient methods to learn undirected probabilistic graphical models (PGMs) from data, the methods they use for sampling the PGMs are computationally costly. In addition, methods for generating solutions in Markov network based EDAs frequently discard information contained in the model to gain in eff
General Univariate Estimation-of-Distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000871753400033;Doerr, B and Dufay, M;Add this journal to your reviewer interest list.  Add Journal|We propose a general formulation of a univariate estimation-of-distribution algorithm (EDA). It naturally incorporates the three classic univariate EDAs compact genetic algorithm, univariate marginal distribution algorithm and population-based incremental learning as well as the max-min ant system with iteration-best update. Our unified description of the existing algorithms allows a unified an
Matching inductive search bias and problem structure in continuous Estimation-of-distribution Algorithms;Full Text @ UPM;https://www.webofscience.com/wos/woscc/full-record/WOS:000251070500023;Bosman, PAN and Grahl, J;Add this journal to your reviewer interest list.  Add Journal|Research into the dynamics of Genetic Algorithms (GAs) has led to the field of Estimation-of-Distribution Algorithms (EDAs). For discrete search spaces, EDAs have been developed that have obtained very promising results on a wide variety of problems. In this paper we investigate the conditions under which the adaptation of this technique to continuous search spaces fails to perform optimization
