Title,Ingenio,URL,Authors,Abstract,Year
Research and New Development of Application of the Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000272834800001,"Wang, DD, Jiang, Y and Li, JL","The Estimation of Distribution Algorithms (EDAs) is a novel class of evolutionary algorithms which is motivated by the idea of building probabilistic graphical model of promising solutions to represent linkage information between variables in chromosome. Through learning of and sampling from probabilistic graphical model, new population is generated and optimization procedure is repeated until the stopping criteria are met. In this paper, the mechanism of the Estimation of Distribution Algorithms is analyzed. Currently existing EDAs are surveyed and categorized according to the probabilistic model they used.",2009
Affinity Propagation Enhanced by Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000322137100042,"Santana, R, Bielza, C and Larrañaga, P","Tumor classification based on gene expression data can be applied to set appropriate medical treatment according to the specific tumor characteristics. In this paper we propose the use of estimation of distribution algorithms (EDAs) to enhance the performance of affinity propagation (AP) in classification problems. AP is an efficient clustering algorithm based on message-passing methods and which automatically identifies exemplars of each cluster. We introduce an EDA-based procedure to compute the preferences used by the AP algorithm. Our results show that AP performance can be notably improved by using the introduced approach. Furthermore, we present evidence that classification of new data is improved by employing previously identified exemplars with only minor decrease in classification accuracy.",2011
Wrapper discretization by means of estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000250774800006,"Flores, JL, Inza, I and Larrañaga, P","We present a supervised wrapper approach to discretization. In contrast to many classical approaches, the discretization process is multivariate: all variables are discretized simultaneously, and the proposed discretization is evaluated with the Naive-Bayes classifier. The search for the optimal discretization is carried out as an optimization process with the learning model estimated accuracy guiding it. The global optimization algorithm is based on estimation of distribution algorithms, a set of novel algorithms which are special kinds of evolutionary algorithms. In order to evaluate the behaviour of the algorithm, an analysis of different parameters is performed by means of analysis of variance (ANOVA). The evaluation was carried out using artificial datasets, and with UCI datasets. The results suggest that the proposed method provides an effective and robust technique for discretizating variables.",2007
An Improved Estimation of Distribution Algorithms based on the Minimal Free Energy,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000339362300210,"Yu, FH, Chen, MJ and Liao, WZ","To systematically harmonize the conflict between selective pressure and population diversity in estimation of distribution algorithms, an improved estimation of distribution algorithms based on the minimal free energy (IEDA) is proposed in this paper. IEDA conforms to the principle of minimal free energy in simulating the competitive mechanism between energy and entropy in annealing process, in which population diversity is measured by similarity entropy and the minimum free energy is simulated with an efficient and effective competition by free energy component. Through solving some typical numerical optimization problems, satisfactory results were achieved, which showed that IEDA was a preferable algorithm to avoid the premature convergence effectively and reduce the cost in search to some extent.",2013
Decentralized Estimation of Distribution Algorithms for Large Scale Networked Systems,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000459239503185,"Bian, AZ and Chen, X","In order to solve optimization problems in large scale networked systems, this paper proposes a method to implement estimation of distribution algorithms (EDA) in a decentralized way. The main point of decentralized EDA is that each subsystem solves its own optimization problems based on local and its neighbors' information. Numerical examples illustrate the effectiveness of the algorithm.",2018
Multi-objective Counterfactuals in Bayesian Classifiers with Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:001347210900024,"Zaragoza-Pellicer, D, Bielza, C and Larrañaga, P","Counterfactual explanations are a very popular and effective method to convey interpretability in supervised classification models. These explanations answer the question of which change is needed in the input data to obtain a desired output. Computing good counterfactuals involves achieving some key objectives, such as validity, minimality, similarity or plausibility. Our proposal consists of using estimation of distribution algorithms for approximating counterfactual explanations within Bayesian classifiers. They are experimentally compared with a genetic algorithm, both with a single-objective and with a multi-objective formulation. Different types of Bayesian classifiers will be evaluated to find the differences in their explanations and we will use their results together to provide more accurate explanations. The experiments show how estimation of distribution algorithms are faster and achieve better results with a single-objective whereas they are competitive in the multi-objective version.",2024
Space complexity of estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000227633700008,"Gao, Y","In this paper, we investigate the space complexity of the Estimation of Distribution Algorithms (EDAs), a class of sampling-based variants of the genetic algorithm. By analyzing the nature of EDAs, we identify criteria that characterize the space complexity of two typical implementation schemes of EDAs, the factorized distribution algorithm and Bayesian network-based algorithms. Using random additive functions as the prototype, we prove that the space complexity of the factorized distribution algorithm and Bayesian network-based algorithms is exponential in the problem size even if the optimization problem has a very sparse interaction structure.",2005
Formalization Description of Estimation of Distribution Algorithms Based on Intelligent Computation Framework,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000259965700113,"Wang, L, Yan, Y, Wu, QD","Different computation modes of agents take on relative uniform characteristic in all kinds of intelligent algorithms, though they usually have different extrinsic forms. In this paper, formalization description of estimation of distribution algorithms is proposed; and the general framework description of estimation of distribution algorithms based on intelligent computation framework idea is discussed and validated based on the uniform framework description of intelligent computation abstracted from all kinds of intelligent computation modes.",2008
Classification Scheme of Multi-objective Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000326235303008,"Mendoza-Gonzalez, A, Ponce-de-Leon, E and Diaz-Diaz, E","A variety of Estimation of Distribution Algorithms for multi-objective optimization (MOEDAs) has been reported, each of them with its own characteristics and techniques in their optimization process. In this research we present a classification scheme for these algorithms, based on ten characteristics: domain of the variables, relationships between the variables, probabilistic graphical model, estimation approach, restriction support, problem handling, sorting method, individuals' handling, selection approach, and replacement approach. These characteristics were extracted by analyzing all the 24 MOEDAs reported in the literature. The scheme presented here helps to identify the methods and techniques used in each algorithm, also, a useful method for the analysis of the optimization process of an EDA is proposed. This paper includes a brief analysis of the influence in the results of applying different selection/replacement percentages.",2013
The effectiveness of mutation operation in the case of Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000244128500019,"Handa, H","The Estimation of Distribution Algorithms are a class of evolutionary algorithms which adopt probabilistic models to reproduce individuals in the next generation, instead of conventional crossover and mutation operators. In this paper, mutation operators are incorporated into Estimation of Distribution Algorithms in order to maintain the diversities in EDA populations. Two kinds of mutation operators are examined: a bitwise mutation operator and a mutation operator taking account into the probabilistic model. In experiments, we do not only compare the proposed methods with conventional EDAs on a few fitness functions but also analyze sampled probabilistic models by using KL-divergence. The experimental results shown in this paper elucidate that the mutation operator taking account into the probabilistic model improve the search ability of EDAs. (c) 2006 Elsevier Ireland Ltd. All rights reserved.",2007
Mateda-2.0: Estimation of Distribution Algorithms in MATLAB,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000281587800001,"Santana, R, Bielza, C, Shakya, S","This paper describes Mateda-2.0, a MATLAB package for estimation of distribution algorithms (EDAs). This package can be used to solve single and multi-objective discrete and continuous optimization problems using EDAs based on undirected and directed probabilistic graphical models. The implementation contains several methods commonly employed by EDAs. It is also conceived as an open package to allow users to incorporate different combinations of selection, learning, sampling, and local search procedures. Additionally, it includes methods to extract, process and visualize the structures learned by the probabilistic models. This way, it can unveil previously unknown information about the optimization problem domain. Mateda-2.0 also incorporates a module for creating and validating function models based on the probabilistic models learned by EDAs.",2010
Estimation of Distribution Algorithms for the Firefighter Problem,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000417370500008,"Michalak, K","The firefighter problem is a graph-based optimization problem in which the goal is to effectively prevent the spread of a threat in a graph using a limited supply of resources. Recently, metaheuristic approaches to this problem have been proposed, including ant colony optimization and evolutionary algorithms.|In this paper Estimation of Distribution Algorithms (EDAs) are used to solve the FFP. A new EDA is proposed in this paper, based on a model that represents the relationship between the state of the graph and positions that become defended during the simulation of the fire spreading. Another method that is tested in this paper, named EH-PBIL, uses an edge histogram matrix model with the learning mechanism used in the Population-based Incremental Learning (PBIL) algorithm with some modifications introduced in order to make it work better with the FFP. Apart from these two EDAs the paper presents results obtained using two versions of the Mallows model, which is a probabilistic model often used for permutation-based problems. For comparison, results obtained on the same test instances using an Ant Colony Optimization (ACO) algorithm, an Evolutionary Algorithm (EA) and a Variable Neighbourhood Search (VNS) are presented.|The state-position model proposed in this paper works best for graphs with 1000 vertices and more, outperforming the comparison methods. For smaller graphs (with less than 1000 vertices) the VNS works best.",2017
Does overfitting affect performance in estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000249917300069,"Wu, H and Shapiro, JL","Estimation of Distribution Algorithms (EDAs) are a class of evolutionary algorithms that use machine learning techniques to solve optimization problems. Machine learning is used to learn probabilistic models of the selected population. This model is then used to generate next population via sampling. An important phenomenon in machine learning from data is called overfitting. This occurs when the model is overly adapted to the specifics of the training data so well that even noise is encoded. The purpose of this paper is to investigate. whether overfitting happens in EDAs, and to discover its consequences. What is found is: overfitting does occur in EDAs; overfitting correlates to EDAs performance; reduction of overfitting using early stopping can improve EDAs performance.",2006
A review of message passing algorithms in estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000371310400014,"Santana, R, Mendiburu, A and Lozano, J","Message passing algorithms (MPAs) have been traditionally used as an inference method in probabilistic graphical models. Some MPA variants have recently been introduced in the field of estimation of distribution algorithms (EDAs) as a way to improve the efficiency of these algorithms. Multiple developments on MPAs point to an increasing potential of these methods for their application as part of hybrid EDAs. In this paper we review recent work on EDAs that apply MPAs and propose ways to further extend the useful synergies between MPAs and EDAs. Furthermore, we analyze some of the implications that MPA developments can have in their future application to EDAs and other evolutionary algorithms.",2016
On the convergence of a class of estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000220968200004,"Zhang, QF and Mühlenbein, H","We investigate the global convergence of estimation of distribution algorithms (EDAs). In EDAs, the distribution is estimated from a set of selected elements, i.e., the parent set, and then the estimated distribution model is used to generate new elements. In this paper, we prove that: 1) if the distribution of the new elements matches that of the parent set exactly, the algorithms will converge to the global optimum under three widely used selection schemes and 2) a factorized distribution algorithm converges globally under proportional selection.",2004
An introduction and survey of estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000209360100001,"Hauschild, M and Pelikan, M","Estimation of distribution algorithms (EDAs) are stochastic optimization techniques that explore the space of potential solutions by building and sampling explicit probabilistic models of promising candidate solutions. This explicit use of probabilistic models in optimization offers some significant advantages over other types of metaheuristics. This paper discusses these advantages and outlines many of the different types of EDAs. In addition, some of the most powerful efficiency enhancement techniques applied to EDAs are discussed and some of the key theoretical results relevant to EDAs are outlined. (C) 2011 Elsevier B.V. All rights reserved.",2011
Porting Estimation of Distribution Algorithms to the Cell Broadband Engine,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000283210200005,"Pérez-Miguel, C, Miguel-Alonso, J and Mendiburu, A","Current consumer-grade computers and game devices incorporate very powerful processors that can be used to accelerate many classes of scientific codes. In this paper we explore the ability of the Cell Broadband Engine to run two similar Estimation of Distribution Algorithms, one for the discrete domain and the other for the continuous domain. Starting from initial, sequential versions, we develop multi-threaded programs for symmetric multiprocessors that are afterwards reworked to run on a Cell-based system. In most cases, the parallel programs significantly accelerate execution times, compared with the sequential counterparts. Additional acceleration is achieved using vector (instead of scalar) operations, which are supported by all the tested platforms. We describe the process of paralle-lizing and porting the programs, and analyze the results obtained taking into account the EDAs under study, the problems solved with them, and the platform in which programs run. We conclude that EDAs are not right targets to be ported to the Cell Broadband Engine. (C) 2010 Elsevier B.V. All rights reserved.",2010
Extending a class of continuous estimation of distribution algorithms to dynamic problems,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000261234500014,"Yuan, B, Orlowska, M and Sadiq, S","In this paper, a class of continuous Estimation of Distribution Algorithms (EDAs) based on Gaussian models is analyzed to investigate their potential for solving dynamic optimization problems where the global optima may change dramatically during time. Experimental results on a number of dynamic problems show that the proposed strategy for dynamic optimization can significantly improve the performance of the original EDAs and the optimal solutions can be consistently located.",2008
Estimation of Distribution Algorithms with Graph Kernels for Graphs with Node Types,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000402759400018,"Maezawa, K and Handa, H","We have proposed a novel Estimation of Distribution Algorithms with graph kernels (EDA-GK). By using the graph kernels, we can search for solutions in a feature space. The use of the graph kernel can eliminate the effect of the ruggedness of genotype-phenotype mappings of evolutionary algorithms. In this paper, we extend the EDA-GK to cope with graphs with node types. In order to achieve this, the histogram in the kernel density estimation function is separated into several sub-histograms formodes of inter-types, and for nodes of each type. Experimental results on the Edge-Max problems show the effectiveness of the proposed method.",2017
On the model updating operators in univariate estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000376763500012,"Bronevich, AG and de Oliveira, JV","The role of the selection operation-that stochastically discriminate between individuals based on their merit-on the updating of the probability model in univariate estimation of distribution algorithms is investigated. Necessary conditions for an operator to model selection in such a way that it can be used directly for updating the probability model are postulated. A family of such operators that generalize current model updating mechanisms is proposed. A thorough theoretical analysis of these operators is presented, including a study on operator equivalence. A comprehensive set of examples is provided aiming at illustrating key concepts, main results, and their relevance.",2016
Negative Correlation Learning in the Estimation of Distribution Algorithms for Combinatorial Optimization,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000327168600010,"Wattanapornprom, W and Chongstitvatana, P","This article introduces the Coincidence Algorithm (COIN) to solve several multimodal puzzles. COIN is an algorithm in the category of Estimation of Distribution Algorithms (EDAs) that makes use of probabilistic models to generate solutions. The model of COIN is a joint probability table of adjacent events (coincidence) derived from the population of candidate solutions. A unique characteristic of COIN is the ability to learn from a negative sample. Various experiments show that learning from a negative example helps to prevent premature convergence, promotes diversity and preserves good building blocks.",2013
Introducing the Mallows Model on Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000306990600054,"Ceberio, J, Mendiburu, A and Lozano, JA","Estimation of Distribution Algorithms are a set of algorithms that belong to the field of Evolutionary Computation. Characterized by the use of probabilistic models to learn the (in)dependencies between the variables of the optimization problem, these algorithms have been applied to a wide set of academic and real-world optimization problems, achieving competitive results in most scenarios. However, they have not been extensively developed for permutation-based problems. In this paper we introduce a. new EDA approach specifically designed to deal with permutation-based problems. In this paper, our proposal estimates a. probability distribution over permutations by means of a distance-based exponential model called the Mallows model. In order to analyze the performance of the Mallows model in EDAs, we carry out some experiments over the Permutation Flowshop Scheduling Problem (PFSP), and compare the results with those obtained by two state-of-the-art EDAs for permutation-based problems.",2011
Estimation of Distribution Algorithms with Fuzzy Sampling for Stochastic Programming Problems,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000586604200001,"Hedar, AR, Allam, AA and Fahim, A","Generating practical methods for simulation-based optimization has attracted a great deal of attention recently. In this paper, the estimation of distribution algorithms are used to solve nonlinear continuous optimization problems that contain noise. One common approach to dealing with these problems is to combine sampling methods with optimal search methods. Sampling techniques have a serious problem when the sample size is small, so estimating the objective function values with noise is not accurate in this case. In this research, a new sampling technique is proposed based on fuzzy logic to deal with small sample sizes. Then, simulation-based optimization methods are designed by combining the estimation of distribution algorithms with the proposed sampling technique and other sampling techniques to solve the stochastic programming problems. Moreover, additive versions of the proposed methods are developed to optimize functions without noise in order to evaluate different efficiency levels of the proposed methods. In order to test the performance of the proposed methods, different numerical experiments were carried out using several benchmark test functions. Finally, three real-world applications are considered to assess the performance of the proposed methods.",2020
Efficiency enhancement of estimation of distribution algorithms by a compressed tournament selection,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000334211500040,"Martins, JP and Delbem, ACB","Estimation of Distribution Algorithms (EDA) are population-based meta-heuristics that use probabilistic models to describe the relationships between variables of a problem. From these models, new solutions can be sampled without disruption of Building Blocks, leading to a more effective search. The key aspect of EDAs is the model-building step and better models should enable a better exploration of the search space. However, high-quality models require computationally expensive algorithms, resulting in too costly EDAs. This paper proposes an efficient implementation of the tournament selection algorithm (TS), called Compressed Tournament Selection (CTS). CTS avoids the insertion of repeated solutions in the population during the TS. Therefore, model-building can be performed on a reduced population (equivalent to the original), improving the EDAs' performance as a whole. In the experiments the method was applied to the Extended Compact Genetic Algorithm and the results showed that by using an appropriate tournament size, CTS can lead to high speed-ups without a decrease of model quality. Besides, CTS keeps the characteristics of TS and can be easily used to enhance the efficiency of any EDA based on the tournament selection algorithm.",2014
Estimation of Distribution Algorithms (EDA) to Realize the Motion Planning of Space Robot,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000397331301129,"Xia, CJ, Wang, RQ and Gu, WJ","The base of space robot is not fixed, the linear and angular momentum of the system obeys conservation law. The angular momentum conservation equations are not integrable, so the system is nonholonomic. Hence a method for space robot motion planning with estimation of distribution algorithms (EDA) is presented. This paper develops the kinematic model of space robot systems, transforms the nonholonomic motion planning of space robot system into optimal control problem, and optimal control law is figured out through EDA. Simulation example demonstrates the effectiveness of the proposed approach.",2010
Triangulation of Bayesian networks with recursive estimation of distribution algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000264713200007,"Romero, T and Larrañaga, P","Bayesian networks can be used as a model to make inferences in domains with intrinsic uncertainty, that is, to determine the probability distribution of a set of variables given the instantiation of another set. The inference is an NP-hard problem. There are several algorithms to make exact and approximate inference. One of the most popular, and that is also an exact method. is the evidence propagation algorithm of Lauritzen and Spiegelhalter [S.L. Lauritzen, D.J. Spiegelhalter, Local computations with probabilities on graphical structures and their application on expert systems, journal of the Royal Statistical Society B 50 (2) (1988) 157-224], improved later by Jensen et al. [F.V. Jensen, S.L. Lauritzen, K.G. Olesen, Bayesian updating in causal probabilistic networks by local computations, In Computational Statistics Quaterly 4 (1990) 269-282]. This algorithm needs an ordering of the variables in order to make the triangulation of the moral graph associated with the original Bayesian network structure. The effectiveness of the inference depends on the variable ordering. In this paper, we will use a new paradigm for evolutionary computation, the estimation of distribution algorithms (EDAs), to get the optimal ordering of the variables to obtain the most efficient triangulation. We will also present a new type of evolutionary algorithm, the recursive EDAs (REDAs). We will prove that REDAs improve the behaviour of EDAs in this particular problem, and that their results are competitive with other triangulation techniques. (C) 2008 Elsevier Inc. All rights reserved.",2009
Bivariate Estimation-of-Distribution Algorithms Can Find an Exponential Number of Optima,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000605292300093,"Doerr, B and Krejca, MS","Finding a large set of optima in a multimodal optimization landscape is a challenging task. Classical population-based evolutionary algorithms (EAs) typically converge only to a single solution. While this can be counteracted by applying niching strategies, the number of optima is nonetheless trivially bounded by the population size.|Estimation-of-distribution algorithms (EDAs) are an alternative, maintaining a probabilistic model of the solution space instead of an explicit population. Such a model is able to implicitly represent a solution set that is far larger than any realistic population size.|To support the study of how optimization algorithms handle large sets of optima, we propose the test function EQUALBLOCKS-ONEMAX (EBOM). It has an easy to optimize fitness landscape, however, with an exponential number of optima. We show that the bivariate EDA mutual-information-maximizing input clustering (MIMIC), without any problem-specific modification, quickly generates a model that behaves very similarly to a theoretically ideal model for that function, which samples each of the exponentially many optima with the same maximal probability.",2020
Understanding the Treatment of Outliers in Multi-Objective Estimation of Distribution Algorithms,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000354873200029,"Martí, L, Sanchez-Pi, N and Vellasco, M","It has been already documented the fact that estimation of distribution algorithms suffer from loss of population diversity and improper treatment of isolated solutions. This situation is particularly severe in the case of multi-objective optimization, as the loss of solution diversity limits the capacity of an algorithm to explore the Pareto-optimal front at full extent.|A set of approaches has been proposed to deal with this problem but - to the best of our knowledge- there has not been a comprehensive comparative study on the outcome of those solutions and at what degree they actually solve the issue.|This paper puts forward such study by comparing how current approaches handle diversity loss when confronted to different multi-objective problems.",2014
Enhancement of continuous estimation of distribution algorithms by density ensembles,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000310311200002,"Li, HL, Hong, Y, Wang, WB","In this article, two novel density ensembles methods - the resampling method and the subspaces method are proposed for enhancing existing continuous Estimation of Distribution Algorithms (EDAs). In 'resampling continuous EDAs', a population of densities of the selected promising solutions is obtained by iteratively using the resampling operator and the density estimation operator, and new candidate solutions at the next generation are reproduced through sampling from all obtained densities of promising solutions. In 'subspaces continuous EDAs', a population of densities is obtained by randomly choosing a subset of all variables and estimating the density of all selected high-quality solutions in this subspace. The above steps iterate and many densities of high-quality solutions in different subspaces can be obtained. New candidate solutions at the next generation are reproduced through perturbing the old promising solutions by sampling from the densities in different subspaces. The results upon convergence with different numbers of variables and the effects of parameters on the performance of the density ensembles methods for continuous EDAs are studied based on the experimental results.",2012
Estimation of Distribution Algorithms as Logistic Regression Regularizers of Microarray Classifiers,Full Text @ UPM,https://www.webofscience.com/wos/woscc/full-record/WOS:000266932600003,"Bielza, C, Robles, V and Larrañaga, P","Objectives: The ""large k (genes), small N (samples)"" phenomenon complicates the problem of microarray classification with logistic regression. The indeterminacy of the maximum likelihood solutions, multicollinearity of predictor variables and data over-fitting cause unstable parameter estimates. Moreover, computational problems arise due to the large number of predictor (genes) variables. Regularized logistic regression excels as a solution. However, the difficulties found here involve an objective function hard to be optimized from a mathematical viewpoint and a careful required tuning of the regularization parameters.|Methods: Those difficulties are tackled by introducing a new way of regularizing the logistic regression. Estimation of distribution algorithms (EDAs), a kind of evolutionary algorithms, emerge as natural regularizers. Obtaining the regularized estimates of the logistic classifier amounts to maximizing the likelihood function via our EDA, without having to be penalized. Likelihood penalties add a number of difficulties to the resulting optimization problems, which vanish in our case. Simulation of new estimates during the evolutionary process of EDAs is performed in such a way that guarantees their shrinkage while maintaining their probabilistic dependence relationships learnt. The EDA process is embedded in an adapted recursive feature elimination procedure, thereby providing the genes that are best markers for the classification.|Results: The consistency with the literature and excellent classification performance achieved with our algorithm are illustrated on four microarray data sets: Breast, Colon, Leukemia and Prostate. Details on the last two data sets are available as supplementary material.|Conclusions: We have introduced a novel EDA-based logistic regression regularizer. It implicitly shrinks the coefficients during EDA evolution process while optimizing the usual likelihood function. The approach is combined with a gene subset selection procedure and automatically tunes the required parameters. Empirical results on microarray data sets provide sparse models with confirmed genes and performing better in classification than other competing regularized methods.",2009
