year,paper_name
2005,Empirical Studies on Parallel Network Construction
2005,Using prior knowledge to improve the performance of an estimation of distribution algorithm applied to feature selection. Fifth International Conference on Hybrid Intelligent Systems (HIS’05)
2005,"Globally Multimodal Problem Optimization Via an Estimation of Distribution Algorithm Based on Unsupervised Learning of Bayesian Networks. Evolutionary Computation, 13(1), 43–66"
2005,Interactions and dependencies in estimation of distribution algorithms
2005,"Estimation of Distribution Algorithms with Kikuchi Approximations. Evolutionary Computation, 13(1), 67–97"
2005,Stock index modeling using EDA based Local Linear Wavelet Neural Network
2005,Probabilistic distribution models for EDA-based GP. Proceedings of the 2005 Conference on Genetic and Evolutionary Computation  - GECCO  ’05
2005,Convergence of estimation of distribution algorithms in optimization of additively noisy fitness functions. 17th IEEE International Conference on Tools with Artificial Intelligence (ICTAI’05)
2005,Parallel island-based estimation of distribution algorithms for wireless network planning
2005,"DE EDA  A new evolutionary algorithm for global optimization. Information Sciences, 169(3-4), 249–262"
2005,Fitness approximation in estimation of distribution algorithms for feature selection
2005,Continuous optimization based-on greedy estimation of GMM
2005,Drift and scaling in estimation of distribution algorithms
2005,On the convergence of an estimation of distribution algorithm based on linkage discovery and factorization. Proceedings of the 2005 Conference on Genetic and Evolutionary Computation  - GECCO  ’05
2005,Extending the GA-EDA hybrid algorithm to study diversification and intensification in GAs and EDAs
2005,A new estimation of distribution algorithm based on learning automata
2005,A study on the global convergence time complexity of estimation of distribution algorithms
2005,Average time complexity of estimation of distribution algorithms
2005,Space complexity of estimation of distribution algorithms
2005,"Clustering and Learning Gaussian Distribution for Continuous Optimization. IEEE Transactions on Systems, Man and Cybernetics, Part C (Applications and Reviews), 35(2), 195–204"
2005,Biped gait optimization using estimation of distribution algorithm
2006,Does overfitting affect performance in estimation of distribution algorithms
2006,Global optimization of motion planning for tip trajectory tracking of a flexible macro-micro manipulator system using Estimation of Distribution Algorithm
2006,"Teeth-Number Synthesis of a Multispeed Planetary Transmission Using an Estimation of Distribution Algorithm. Journal of Mechanical Design, 128(1), 108"
2006,The LEM3 implementation of learnable evolution model and its testing on complex function optimization problems
2006,A new algorithm of automatic programming GEGEP
2006,A Comparison of Evolutionary Protocols for Solving Distributed Constraint Satisfaction Problems
2006,Biped gait optimization using spline function based probability model
2006,"A Step Forward in Studying the Compact Genetic Algorithm. Evolutionary Computation, 14(3), 277–289"
2006,"Scatter Search in software testing, comparison and collaboration with Estimation of Distribution Algorithms. European Journal of Operational Research, 169(2), 392–412"
2006,Evolutionary Bayesian classifier-based optimization in continuous domains
2006,An estimation of distribution algorithm for the channel assignment problem
2006,Obtaining biclusters in microarrays with population-based heuristics
2006,"A HYBRID ESTIMATION OF DISTRIBUTION ALGORITHM FOR CDMA CELLULAR SYSTEM DESIGN. International Journal of Computational Intelligence and Applications, 07(02), 187–200"
2006,Parallel EDA to create multivariate calibration models for quantitative chemical applications
2006,Estimation of distribution algorithm for optimization of neural networks for intrusion detection system
2006,"An Estimation of Distribution Particle Swarm Optimization Algorithm. Lecture Notes in Computer Science, 72–83"
2006,"A general-purpose tunable landscape generator. IEEE Transactions on Evolutionary Computation, 10(5), 590–603"
2006,A mathematical modelling technique for the analysis of the dynamics of a simple continuous EDA
2006,A hybrid estimation of distribution algorithm for the Minimal Switching Graph problem
2006,Modelling the population distribution in multi-objective optimization by generative topographic mapping
2006,Optimising cancer chemotherapy using an estimation of distribution algorithm and genetic algorithms. Proceedings of the 8th Annual Conference on Genetic and Evolutionary Computation  - GECCO  ’06
2006,"Optimizing Continuous Problems Using Estimation of Distribution Algorithm Based on Histogram Model. Simulated Evolution and Learning, 545–552"
2006,Full-space LDA with evolutionary selection for face recognitiont
2006,Estimation distribution of algorithm for fuzzy clustering gene expression data
2006,Continuous Optimization based-on Boosting Gaussian Mixture Model. 18th International Conference on Pattern Recognition (ICPR’06)
2007,Ambient Cardiac Expert  A Cardiac Patient Monitoring System using Genetic and Clinical Knowledge Fusion. 6th IEEE ACIS International Conference on Computer and Information Science (ICIS 2007)(1)
2007,Exact Bayesian network learning in estimation of distribution algorithms
2007,A Decision-Tree-Based Multi-objective Estimation of Distribution Algorithm. 2007 International Conference on Computational Intelligence and Security (CIS 2007) (1)
2007,The effectiveness of mutation operation in the case of Estimation of Distribution Algorithms
2007,Bayesian inference in estimation of distribution algorithms. 2007 IEEE Congress on Evolutionary Computation
2007,Side chain placement using estimation of distribution algorithms
2007,An Incremental Approach for Niching and Building Block Detection via Clustering. Seventh International Conference on Intelligent Systems Design and Applications (ISDA 2007)
2007,Wrapper discretization by means of estimation of distribution algorithms
2007,"An estimation of distribution algorithm for nurse scheduling. Annals of Operations Research, 155(1), 289–309"
2007,Estimation of distribution algorithm based on probabilistic grammar with latent annotations. 2007 IEEE Congress on Evolutionary Computation
2007,The role of a priori information in the minimization of contact potentials by means of estimation of distribution algorithms
2007,"Adaptive estimated maximum-entropy distribution model. Information Sciences, 177(15), 3110–3128"
2007,Combining Bayesian classifiers and estimation of distribution algorithms for optimization in continuous domains
2008,"GAIT GENERATION AND OPTIMIZATION USING THE ESTIMATION OF DISTRIBUTION ALGORITHM FOR TEENSIZE HUMANOID SOCCER ROBOT RESr-1. International Journal of Humanoid Robotics, 05(03), 437–456"
2008,Combining variable neighborhood search and estimation of distribution algorithms in the protein side chain placement problem
2008,FPGA Implementation of a Cellular Univariate Estimation of Distribution Algorithm and Block-Based Neural Network as an Evolvable Hardware
2008,Optimal design for 2-DOF PID controller based on Maximum Entropy Estimation of Distribution Algorithm. 2008 3rd International Conference on Intelligent System and Knowledge Engineering
2008,FPGA Implementation of a Cellular Compact Genetic Algorithm. 2008 NASA ESA Conference on Adaptive Hardware and Systems
2008,Adding Probabilistic Dependencies to the Search of Protein Side Chain Configurations Using EDAs
2008,Approaches to Selection and their Effect on Fitness Modelling in an Estimation of Distribution Algorithm
2008,Extending a class of continuous estimation of distribution algorithms to dynamic problems
2008,Asynchronous Distributed Parallel Gene Expression Programming Based on Estimation of Distribution Algorithm. 2008 Fourth International Conference on Natural Computation
2008,"A Bayesian Network Approach to Program Generation. IEEE Transactions on Evolutionary Computation, 12(6), 750–764"
2008,Approximating the Set of Pareto-Optimal Solutions in Both the Decision and Objective Spaces by an Estimation of Distribution Algorithm
2008,Improved Prediction of Nitrogen Oxides Using GRNN with K-Means Clustering and EDA. 2008 Fourth International Conference on Natural Computation
2008,Optimizing logistic regression coefficients for discrimination and calibration using estimation of distribution algorithms
2008,"RM-MEDA  A Regularity Model-Based Multiobjective Estimation of Distribution Algorithm. IEEE Transactions on Evolutionary Computation, 12(1), 41–63"
2008,Optimal Genes Selection with a New Multi-objective Evolutional Algorithm Hybriding NSGA-II with EDA. 2008 International Conference on BioMedical Engineering and Informatics
2008,Scalable continuous multiobjective optimization with a neural network-based estimation of distribution algorithm
2008,A Restart Univariate Estimation of Distribution Algorithm Sampling under Mixed Gaussian and Levy probability Distribution
2008,"A HYBRID ESTIMATION OF DISTRIBUTION ALGORITHM FOR CDMA CELLULAR SYSTEM DESIGN. International Journal of Computational Intelligence and Applications, 07(02), 187–200"
2008,The Impact of Exact Probabilistic Learning Algorithms in EDAs Based on Bayesian Networks
2008,QoS-based service provision schemes and plan durability in service composition
2008,An Island Based Hybrid Evolutionary Algorithm for Optimization
2008,"DYNAMIC SEARCH SPACE TRANSFORMATIONS FOR SOFTWARE TEST DATA GENERATION. Computational Intelligence, 24(1), 23–61"
2008,"Unified eigen analysis on multivariate Gaussian based estimation of distribution algorithms. Information Sciences, 178(15), 3000–3023"
2008,Matching inductive search bias and problem structure in continuous Estimation-of-distribution Algorithms
2008,An orthogonal hybrid algorithm for the resource-constrained project scheduling problem. 2008 7th World Congress on Intelligent Control and Automation
2008,A Bi-level Blocked Estimation of Distribution Algorithm with Local Search for Maximum Clique Problems
2008,"Protein Folding in Simplified Models With Estimation of Distribution Algorithms. IEEE Transactions on Evolutionary Computation, 12(4), 418–438"
2008,An Estimation of Distribution Algorithm for Motif Discovery. 2008 IEEE Congress on Evolutionary Computation (IEEE World Congress on Computational Intelligence)
2008,"Robust Airfoil Optimization with Multi-objective Estimation of Distribution Algorithm. Chinese Journal of Aeronautics, 21(4), 289–295"
2008,Discrete Quantum-Behaved Particle Swarm Optimization Based on Estimation of Distribution for Combinatorial Optimization
2008,A linear estimation-of-distribution GP system
2008,A review of estimation of distribution algorithms in bioinformatics
2008,Preventing Premature Convergence in a Simple EDA Via Global Step Size Setting
2008,Linkages Detection in Histogram-Based Estimation of Distribution Algorithm
2008,"Estimating Biped Gait Using Spline-Based Probability Distribution Function With Q-Learning. IEEE Transactions on Industrial Electronics, 55(3), 1444–1452"
2008,Optimization and stabilization of networked control systems  An Estimation of Distribution Algorithm approach. 2008 47th IEEE Conference on Decision and Control
2008,"Histogram-Based Estimation of Distribution Algorithm  A Competent Method for Continuous Optimization. Journal of Computer Science and Technology, 23(1), 35–43"
2008,A Generalized Differential Evolution Combined with EDA for Multi-objective Optimization Problems
2008,An Improved Estimation of Distribution Algorithm in Dynamic Environments. 2008 Fourth International Conference on Natural Computation
2008,Online Transportation and Logistics Using Computationally Intelligent Anticipation
2008,Bio-control in mushroom farming using a Markov network EDA. 2008 IEEE Congress on Evolutionary Computation (IEEE World Congress on Computational Intelligence)
2009,Estimation_of_Distribution_Algorithms_For_Job_Schedule_Problem
2009,Structure learning and optimisation in a Markov-network based estimation of distribution algorithm. 2009 IEEE Congress on Evolutionary Computation
2009,"Advanced design and optimization of single mode photonic crystal fibers. Journal of Modern Optics, 56(14), 1572–1581"
2009,Hybrid Estimation of Distribution Algorithm for permutation flowshop scheduling problem with sequence dependent family setup times
2009,Hybrid multiobjective estimation of distribution algorithm by local linear embedding and an immune inspired algorithm. 2009 IEEE Congress on Evolutionary Computation
2009,On the Computational Properties of the Multi-Objective Neural Estimation of Distribution Algorithm
2009,A hybrid multi-objective algorithm using genetic and estimation of distribution based on design of Experiments. 2009 IEEE International Conference on Intelligent Computing and Intelligent Systems
2009,Estimation of distribution algorithm for scheduling in uplink multiuser wireless communication system. 2009 IEEE Symposium on Computational Intelligence in Scheduling
2009,An Estimation of Distribution Algorithm for Flowshop Scheduling with Limited Buffers
2009,"EDA-Based Speed Control of a Networked DC Motor System With Time Delays and Packet Losses. IEEE Transactions on Industrial Electronics, 56(5), 1727–1735"
2009,"An estimation of distribution algorithm for minimizing the total flowtime in permutation flowshop scheduling problems. Computers & Operations Research, 36(9), 2638–2646"
2009,"Hybrid Estimation of Distribution Algorithm Using Local Function Approximations. IEEE Transactions on Magnetics, 45(3), 1558–1561"
2009,Estimation of Distribution Algorithm based on copula theory. 2009 IEEE Congress on Evolutionary Computation
2009,"Duple-EDA and sample density balancing. Science in China Series F  Information Sciences, 52(9), 1640–1650"
2009,"Optimization of Thorium loading in fresh core of Indian PHWR by evolutionary algorithms. Annals of Nuclear Energy, 36(7), 948–955"
2009,"Latent Variable Model for Estimation of Distribution Algorithm Based on a Probabilistic Context-Free Grammar. IEEE Transactions on Evolutionary Computation, 13(4), 858–878"
2009,"Competitive Hopfield Network Combined With Estimation of Distribution for Maximum Diversity Problems. IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics), 39(4), 1048–1066"
2009,"Theoretical and Empirical Analysis of a GPU Based Parallel Bayesian Optimization Algorithm. 2009 International Conference on Parallel and Distributed Computing, Applications and Technologies"
2009,"Integrated feature and parameter optimization for an evolving spiking neural network  Exploring heterogeneous probabilistic models. Neural Networks, 22(5-6), 623–632"
2009,Research and New Development of Application of the Estimation of Distribution Algorithms
2009,Estimation of distribution algorithm based on archimedean copulas. Proceedings of the First ACM SIGEVO Summit on Genetic and Evolutionary Computation - GEC  ’09
2009,"Optimal Stabilizing Gain Selection for Networked Control Systems With Time Delays and Packet Losses. IEEE Transactions on Control Systems Technology, 17(5), 1154–1162"
2009,A Novel Fuzzy Histogram Based Estimation of Distribution Algorithm for Global Numerical Optimization. 2009 International Conference of Soft Computing and Pattern Recognition
2009,"Real options approach to evaluating genetic algorithms. Applied Soft Computing, 9(3), 896–905"
2009,"Using Copulas in Estimation of Distribution Algorithms. Lecture Notes in Computer Science, 658–668"
2009,"An Estimation of Distribution Algorithm for Minimizing the Makespan in Blocking Flowshop Scheduling Problems. Studies in Computational Intelligence, 151–167"
2009,Triangulation of Bayesian networks with recursive estimation of distribution algorithms
2009,"Design of ultra-low and ultra-flattened dispersion single mode photonic crystal fiber by DE EDA algorithm. Journal of Modern Optics, 56(12), 1348–1357"
2009,Optimization of machining parameters using estimation of distribution algorithms. 2009 IEEE International Conference on Intelligent Computing and Intelligent Systems
2009,Hybrid EDA-based optimal attitude control for a spacecraft in a class of control task. Proceedings of the First ACM SIGEVO Summit on Genetic and Evolutionary Computation - GEC  ’09
2009,Avoiding premature convergence in estimation of distribution algorithms
2009,"A Self-adaptive Mixed Distribution Based Uni-variate Estimation of Distribution Algorithm for Large Scale Global Optimization. Studies in Computational Intelligence, 171–198"
2009,Hybridization of Evolutionary Mechanisms for Feature Subset Selection in Unsupervised Learning
2009,3D Vehicle Location Based on Improved Hausdorff Distance and Distributed Estimation Algorithm. 2009 First International Workshop on Education Technology and Computer Science
2009,When is an estimation of distribution algorithm better than an evolutionary algorithm
2009,Bayesian Optimization Algorithm for the Non-unique Oligonucleotide Probe Selection Problem
2009,High-order EDA
2009,Motif Discovery Using Evolutionary Algorithms. 2009 International Conference of Soft Computing and Pattern Recognition
2010,Comparison of cauchy EDA and BIPOP-CMA-ES algorithms on the BBOB noiseless testbed. Proceedings of the 12th Annual Conference Comp on Genetic and Evolutionary Computation - GECCO  ’10
2010,"Estimation of Distribution Algorithm Incorporating Switching. IEICE Transactions on Information and Systems, E93-D(11), 3108–3111"
2010,An Estimation of Distribution Algorithm Based Portfolio Selection Approach. 2010 International Conference on Technologies and Applications of Artificial Intelligence
2010,An Efficient Estimation of Distribution Algorithm for Job Shop Scheduling Problem
2010,"ON THE PROBABILISTIC OPTIMIZATION OF SPIKING NEURAL NETWORKS. International Journal of Neural Systems, 20(06), 481–500"
2010,Comparison of cauchy EDA and rosenbrock’s algorithms on the BBOB noiseless testbed. Proceedings of the 12th Annual Conference Comp on Genetic and Evolutionary Computation - GECCO  ’10
2010,"Hybrid sampling on mutual information entropy-based clustering ensembles for optimizations. Neurocomputing, 73(7-9), 1457–1464"
2010,MP-EDA- A Robust Estimation of Distribution Algorithm with Multiple Probabilistic Models for Global Continuous Optimization
2010,The RM-MEDA Based on Elitist Strategy
2010,A Hybrid Evolutionary Algorithm Based on Alopex and Estimation of Distribution Algorithm and Its Application for Optimization
2010,Restricted Boltzmann machine based algorithm for multi-objective optimization. IEEE Congress on Evolutionary Computation
2010,"Enabling the Extended Compact Genetic Algorithm for Real-Parameter Optimization by Using Adaptive Discretization. Evolutionary Computation, 18(2), 199–228"
2010,A learning strategy for multi-robot based on probabilistic evolutionary algorithm. 2010 8th World Congress on Intelligent Control and Automation
2010,Probabilistic model building Genetic Network Programming using multiple probability vectors. TENCON 2010 - 2010 IEEE Region 10 Conference
2010,Probabilistic Based Evolutionary Optimizers in Bi-objective Travelling Salesman Problem
2010,"Sensibility of Linkage Information and Effectiveness of Estimated Distributions. Evolutionary Computation, 18(4), 547–579"
2010,"Estimation of Distribution Algorithm Based on Copula Theory. Exploitation of Linkage Learning in Evolutionary Algorithms, 139–162"
2010,Analysis of Computational Time of Simple Estimation of Distribution Algorithms
2010,Porting Estimation of Distribution Algorithms to the Cell Broadband Engine
2010,"Multi-marker tagging single nucleotide polymorphism selection using estimation of distribution algorithms. Artificial Intelligence in Medicine, 50(3), 193–201"
2010,Comparison of cauchy EDA and pPOEMS algorithms on the BBOB noiseless testbed. Proceedings of the 12th Annual Conference Comp on Genetic and Evolutionary Computation - GECCO  ’10
2010,Mateda-2.0- Estimation of Distribution Algorithms in MATLAB
2010,Adapting Heuristic Mastermind Strategies to Evolutionary Algorithms
2010,An Estimation of Distribution Algorithm Based on Clayton Copula and Empirical Margins
2010,GAIS- A Gaussian Artificial Immune System for Continuous Optimization
2010,EDA-PSO- A Hybrid Paradigm Combining Estimation of Distribution Algorithms and Particle Swarm Optimization
2010,Learning Factorizations in Estimation of Distribution Algorithms Using Affinity Propagation
2010,Using Probabilistic Dependencies Improves the Search of Conductance-Based Compartmental Neuron Models
2010,"Discrete Hopfield network combined with estimation of distribution for unconstrained binary quadratic programming problem. Expert Systems with Applications, 37(8), 5758–5774"
2010,Toward an estimation of distribution algorithm for the evolution of artificial neural networks. Proceedings of the Third C  Conference on Computer Science and Software Engineering - C3S2E  ’10
2010,An estimation of distribution algorithm for resource-constrained project scheduling problem. 2010 Chinese Control and Decision Conference
2010,Efficient resource minimization scheme for network coding-assisted multicast system. 2010 IEEE Globecom Workshops
2010,A novel memetic algorithm for constrained optimization. IEEE Congress on Evolutionary Computation
2010,"Optimal decoding and minimal length for the non-unique oligonucleotide probe selection problem. Neurocomputing, 73(13-15), 2407–2418"
2010,Parameter Evolution for a Particle Swarm Optimization Algorithm
2010,An investigation on sampling technique for multi-objective restricted Boltzmann machine. IEEE Congress on Evolutionary Computation
2010,"A Hybrid EDA for Protein Folding Based on HP Model. IEEJ Transactions on Electrical and Electronic Engineering, 5(4), 459–466"
2010,"Controlling Chaos by an Improved Estimation of Distribution Algorithm. Mathematical and Computational Applications, 15(5), 866–871"
2010,Comparison of cauchy EDA and G3PCX algorithms on the BBOB noiseless testbed. Proceedings of the 12th Annual Conference Comp on Genetic and Evolutionary Computation - GECCO  ’10
2010,"Two-level evolutionary approach to the survivable mesh-based transport network topological design. Journal of Heuristics, 16(5), 723–744"
2010,Multi-objective evolutionary of Distribution Algorithm using kernel density estimation model. 2010 8th World Congress on Intelligent Control and Automation
2010,"Optimization of depleted uranium bundle loading in fresh core of Indian PHWR by evolutionary algorithm. Annals of Nuclear Energy, 37(2), 208–217"
2011,An New Estimation of Distribution Algorithm Based Edge Histogram Model for Flexible Job-Shop Problem
2011,Global Optimization with the Gaussian Polytree EDA
2011,Efficient model building in competent genetic algorithms using DSM clustering
2011,A new initialization procedure for the distributed estimation of distribution algorithms
2011,Memetic clonal selection algorithm with EDA vaccination for unconstrained binary quadratic programming problems
2011,Online Learning in Estimation of Distribution Algorithms for Dynamic Environments
2011,Estimation of distribution algorithm for permutation flow shops with total flowtime minimization
2011,Optimal row and column ordering to improve table interpretation using estimation of distribution algorithms
2011,A hybrid particle swarm optimization with estimation of distribution algorithm for solving permutation flowshop scheduling problem
2011,A Multi-population Parallel Estimation of Distribution Algorithms Based on Clayton and Gumbel Copulas
2011,"MB-GNG  Addressing drawbacks in multi-objective optimization estimation of distribution algorithms. Operations Research Letters, 39(2), 150–154"
2011,"Optimization of depleted uranium loading in fresh core of large sized Indian PHWR by evolutionary algorithm. Annals of Nuclear Energy, 38(4), 905–909"
2011,"Using selfish gene theory to construct mutual information and entropy based clusters for bivariate optimizations. Soft Computing, 15(5), 907–915"
2011,Application of L-EDA in metabonomics data handling- global metabolite profiling and potential biomarker discovery of epithelial ovarian cancer prognosis
2011,Multi-objective Phylogenetic Algorithm- Solving Multi-objective Decomposable Deceptive Problems
2011,Evolutionary algorithms for solving multi-objective travelling salesman problem
2011,An estimation of distribution algorithm based on nonparametric density estimation. 2011 IEEE Congress of Evolutionary Computation (CEC)
2011,A discrete artificial bee colony algorithm for the total flowtime minimization in permutation flow shops
2011,Handling expensive optimization with large noise. Proceedings of the 11th Workshop Proceedings on Foundations of Genetic Algorithms - FOGA  ’11
2011,Univariate marginal distribution algorithm dynamics for a class of parametric functions with unitation constraints
2011,"Univariate Marginal Distribution Algorithm in Combination with Extremal Optimization (EO, GEO)"
2011,Two-stage EDA-based approach for all optical WDM mesh network survivability under SRLG constraints
2011,EA:G-GA for Single Machine Scheduling Problems with Earliness:Tardiness Costs
2011,"Learning Ensembles of Neural Networks by Means of a Bayesian Artificial Immune System. IEEE Transactions on Neural Networks, 22(2), 304–316"
2011,Estimation of Distribution Algorithm for the Quay Crane Scheduling Problem
2011,"EDA-based Joint Power, Subcarrier Allocation and Relay Assignment Scheme for Multiuser Relaying in OFDMA-based Cognitive Radio Systems"
2011,Regularized logistic regression without a penalty term- An application to cancer classification with microarray data
2011,SSGA & EDA Based Feature Selection and Weighting for Face Recognition
2011,Real-coded Estimation of Distribution Algorithm by Using Probabilistic Models with Multiple Learning Rates
2011,A Preliminary Study on EDAs for Permutation Problems Based on Marginal-based Models
2011,An introduction and survey of estimation of distribution algorithms
2011,Training multilayer perceptrons with a Gaussian Artificial Immune System. 2011 IEEE Congress of Evolutionary Computation (CEC)
2011,The Research of Q Learning-Based Estimation of Distribution Algorithm
2011,A novel estimation of distribution algorithm using graph-based chromosome representation and reinforcement learning. 2011 IEEE Congress of Evolutionary Computation (CEC)
2011,Environment identification-based memory scheme for estimation of distribution algorithms in dynamic environments
2011,Regularized k-order Markov models in EDAs
2011,"Multi-objective Optimization with Joint Probabilistic Modeling of Objectives and Variables. Evolutionary Multi-Criterion Optimization, 298–312"
2011,Introducing the Mallows Model on Estimation of Distribution Algorithms
2011,A comparison of GEC-based feature selection and weighting for multimodal biometric recognition. 2011 IEEE Congress of Evolutionary Computation (CEC)
2011,Peakbin Selection in Mass Spectrometry Data Using a Consensus Approach with Estimation of Distribution Algorithms
2011,Subspace estimation of distribution algorithms- To perturb part of all variables in estimation of distribution algorithms
2011,Opposition-Based Learning Estimation of Distribution Algorithm with Gaussian Copulas and Its Application to Placement of RFID Readers
2011,An Evolutionary Algorithm That Makes Decision Based on the Entire Previous Search History
2011,Inductive Logic Programming Through Estimation of Distribution Algorithm
2011,On the Effect of Environment-Triggered Population Diversity Compensation Methods for Memory Enhanced UMDA
2011,"Δ-Entropy- Definition, properties and applications in system identification with quantized data"
2012,Estimation of Distribution Algorithm for green resource allocation in cognitive radio systems. 2012 6th International Conference on Signal Processing and Communication Systems
2012,"An effective estimation of distribution algorithm for the multi-mode resource-constrained project scheduling problem. Computers & Operations Research, 39(2), 449–460"
2012,Maximizing the Number of Polychronous Groups in Spiking Networks
2012,"A hybrid estimation of distribution algorithm for solving the resource-constrained project scheduling problem. Expert Systems with Applications, 39(3), 2451–2460"
2012,Daily Ecopertrol Stock Performance Estimate by Using Estimation of Distribution Algorithms (EDAs)
2012,"A Probabilistic Fragment-Based Protein Structure Prediction Algorithm. PLoS ONE, 7(7), e38799"
2012,"An Improved Population-Based Incremental Learning Method for Objects Buried in Planar Layered Media. IEEE Transactions on Magnetics, 48(2), 1027–1030"
2012,Mutation in Compressed Encoding in Estimation of Distribution Algorithm. 2012 Sixth International Conference on Genetic and Evolutionary Computing
2012,"An effective hybrid EDA-based algorithm for solving multidimensional knapsack problem. Expert Systems with Applications, 39(5), 5593–5599"
2012,"Experimental Comparison of Six Population-Based Algorithms for Continuous Black Box Optimization. Evolutionary Computation, 20(4), 483–508"
2012,Global Optimal Selection of Web Composite Services Based on UMDA
2012,An Estimation of Distribution Algorithm for the Flexible Job-Shop Scheduling Problem
2012,Genetic & Evolutionary Biometrics  Feature extraction from a Machine Learning perspective. 2012 Proceedings of IEEE Southeastcon
2012,Redundancy Allocation problem for a Series-Parallel system using Estimation of Distribution Algorithm
2012,An analysis of the use of probabilistic modeling for synaptic connectivity prediction from genomic data. 2012 IEEE Congress on Evolutionary Computation
2012,"Selection of fuel channels for Thermal Power Measurement in 700MWe Indian PHWR by evolutionary algorithm. Nuclear Engineering and Design, 247, 116–122"
2012,Improved Hybrid Differential Evolution-Estimation of Distribution Algorithm with Feasibility Rules for NLPMINLP Engineering Optimization Problems
2012,A Linkage-Learning Niching in Estimation of Distribution Algorithm
2012,Use of graph kernels in Estimation of Distribution Algorithms. 2012 IEEE Congress on Evolutionary Computation
2012,Toward Understanding EDAs Based on Bayesian Networks Through a Quantitative Analysis
2012,"Effective search for Pittsburgh learning classifier systems via estimation of distribution algorithms. Information Sciences, 198, 100–117"
2012,"A hybrid EDA with ACS for solving permutation flow shop scheduling. The International Journal of Advanced Manufacturing Technology, 60(9-12), 1139–1147"
2012,The experimental study of population-based parameter optimization algorithms on rule-based ecological modelling. 2012 IEEE Congress on Evolutionary Computation
2012,"A compact genetic algorithm for the network coding based resource minimization problem. Applied Intelligence, 36(4), 809–823"
2012,Evolving NK-complexity for evolutionary solvers. Proceedings of the Fourteenth International Conference on Genetic and Evolutionary Computation Conference Companion - GECCO Companion  ’12
2012,An EDA based on Bayesian networks constructed with Archimedean copulas. 2012 Fourth World Congress on Nature and Biologically Inspired Computing (NaBIC)
2012,Pareto-Based Multi-objective Estimation of Distribution Algorithm with Gaussian Copulas and Application in RFID Network Planning
2012,A hybrid estimation of distribution algorithm for solving the multi-objective multiple traveling salesman problem. 2012 IEEE Congress on Evolutionary Computation
2012,"A review on probabilistic graphical models in evolutionary computation. Journal of Heuristics, 18(5), 795–819"
2012,A continuous estimation of distribution algorithm by evolving graph structures using reinforcement learning. 2012 IEEE Congress on Evolutionary Computation
2012,AutoClustering  An estimation of distribution algorithm for the automatic generation of clustering algorithms. 2012 IEEE Congress on Evolutionary Computation
2012,Modified Bayesian optimization algorithm for planar array design. 2012 Fourth International Conference on Communications and Electronics (ICCE)
2012,"Detection of Financial Statement Fraud Using Evolutionary Algorithms. Journal of Emerging Technologies in Accounting, 9(1), 71–94"
2012,"A restarted estimation of distribution algorithm for solving sudoku puzzles. Monte Carlo Methods and Applications, 18(2)"
2012,"Entropy-based efficiency enhancement techniques for evolutionary algorithms. Information Sciences, 188, 100–120"
2012,A Bio Inspired Estimation of Distribution Algorithm for Global Optimization
2012,"Gaussian process assisted coevolutionary estimation of distribution algorithm for computationally expensive problems. Journal of Central South University, 19(2), 443–452"
